file,rows,pos,click_rate
train_00.parquet,625000,288428,0.4614848
train_01.parquet,625000,288673,0.4618768
train_02.parquet,625000,288512,0.4616192
train_03.parquet,625000,288848,0.4621568
train_04.parquet,625000,288309,0.4612944
train_05.parquet,625000,288061,0.4608976
train_06.parquet,625000,287565,0.460104
train_07.parquet,625000,288214,0.4611424
train_08.parquet,625000,288807,0.4620912
train_09.parquet,625000,289454,0.4631264
train_10.parquet,625000,289199,0.4627184
train_11.parquet,625000,289279,0.4628464
train_12.parquet,625000,289003,0.4624048
train_13.parquet,625000,288871,0.4621936
train_14.parquet,625000,289534,0.4632544
train_15.parquet,625000,288982,0.4623712
train_16.parquet,625000,288537,0.4616592
train_17.parquet,625000,288267,0.4612272
train_18.parquet,625000,289340,0.462944
train_19.parquet,625000,289132,0.4626112
train_20.parquet,625000,288090,0.460944
train_21.parquet,625000,288948,0.4623168
train_22.parquet,625000,288676,0.4618816
train_23.parquet,625000,288716,0.4619456
train_24.parquet,625000,288354,0.4613664
train_25.parquet,625000,289163,0.4626608
train_26.parquet,625000,289519,0.4632304
train_27.parquet,625000,288150,0.46104
train_28.parquet,625000,288602,0.4617632
train_29.parquet,625000,288879,0.4622064
train_30.parquet,625000,288750,0.462
train_31.parquet,625000,288117,0.4609872
train_32.parquet,625000,288621,0.4617936
train_33.parquet,625000,288788,0.4620608
train_34.parquet,625000,287979,0.4607664
train_35.parquet,625000,288724,0.4619584
train_36.parquet,625000,287505,0.460008
train_37.parquet,625000,289006,0.4624096
train_38.parquet,625000,288530,0.461648
train_39.parquet,625000,289167,0.4626672
train_40.parquet,625000,288411,0.4614576
train_41.parquet,625000,288445,0.461512
train_42.parquet,625000,289040,0.462464
train_43.parquet,625000,288494,0.4615904
train_44.parquet,625000,288821,0.4621136
train_45.parquet,625000,288649,0.4618384
train_46.parquet,625000,288302,0.4612832
train_47.parquet,625000,289636,0.4634176
train_48.parquet,625000,288817,0.4621072
train_49.parquet,625000,288598,0.4617568
train_50.parquet,625000,288146,0.4610336
train_51.parquet,625000,288971,0.4623536
train_52.parquet,625000,289299,0.4628784
train_53.parquet,625000,287898,0.4606368
train_54.parquet,625000,288386,0.4614176
train_55.parquet,625000,289076,0.4625216
train_56.parquet,625000,289001,0.4624016
train_57.parquet,625000,288654,0.4618464
train_58.parquet,625000,288666,0.4618656
train_59.parquet,625000,288732,0.4619712
train_60.parquet,625000,288683,0.4618928
train_61.parquet,625000,288632,0.4618112
train_62.parquet,625000,288293,0.4612688
train_63.parquet,625000,288478,0.4615648
train_64.parquet,625000,288213,0.4611408
train_65.parquet,625000,288160,0.461056
train_66.parquet,625000,288055,0.460888
train_67.parquet,625000,289327,0.4629232
train_68.parquet,625000,289521,0.4632336
train_69.parquet,625000,288825,0.46212
train_70.parquet,625000,288703,0.4619248
train_71.parquet,625000,288235,0.461176
train_72.parquet,625000,288963,0.4623408
train_73.parquet,625000,288494,0.4615904
train_74.parquet,625000,288736,0.4619776
train_75.parquet,625000,288337,0.4613392
train_76.parquet,625000,289381,0.4630096
train_77.parquet,625000,289058,0.4624928
train_78.parquet,625000,289423,0.4630768
train_79.parquet,625000,288261,0.4612176
